date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,rt1,rt2
2020-02-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.91394798091078,NaN
2020-02-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.89341473820059,NaN
2020-02-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.87410300456106,NaN
2020-02-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84825117079247,NaN
2020-02-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.81690379762316,NaN
2020-02-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.77889242189201,NaN
2020-02-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.73708314674189,NaN
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69758830606919,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.65403384482627,NaN
2020-02-24,0,14,93.8004679355337,124,51,22,21,5,-12,33,21,-18,-14,6,1.60692318957616,NaN
2020-02-25,4,11.5,100,114,56,22,27,5,-16,-3,12,-26,-18,9,1.55218225373141,NaN
2020-02-26,4,11.5,54.8879815468703,132,30,27,23,5,-21,-11,-21,-34,-19,9,1.50028844546327,NaN
2020-02-27,2,11,66.3653052243975,68,NaN,30,27,5,-16,-10,0,-31,-18,9,1.44819548725422,NaN
2020-02-28,17,11,46.6507380209733,NaN,13,28,38,5,-15,-8,14,-29,-18,8,1.39804893837611,1.488120957
2020-02-29,8,9,87.4289216218023,30,30,13,21,5,-20,-5,-3,-29,-20,6,1.34858639395601,1.454889425
2020-03-01,24,6.5,100,72,27,13,23,5,-35,-13,-58,-44,-11,8,1.29658494935262,1.409741716
2020-03-02,2,8,100,70,30,8,21,5,-21,-11,-41,-34,-14,8,1.24690699131019,1.374265759
2020-03-03,23,8.25,100,72,16,14,24,5,-16,-10,-18,-35,-17,9,1.19844429455592,1.345535398
2020-03-04,31,9,100,46,27,19,27,NaN,-17,-7,8,-33,-17,8,1.15467485708251,1.315090104
2020-03-05,35,8,100,55,23,13,15,5,-23,-7,-29,-39,-19,11,1.11412087490775,1.293830172
2020-03-06,31,8,100,61,20,20,24,5,-25,-5,-15,-38,-20,11,1.0755902838754,1.272842176
2020-03-07,48,11,100,59,25,23,17,5,-30,-5,20,-33,-22,8,1.03958951086158,1.254345611
2020-03-08,47,9.5,87.7651541431028,70,17,29,28,5,-60,-11,-6,-42,-20,10,1.00616716896221,1.246231455
2020-03-09,3,7,100,53,20,23,18,5,-49,-15,-45,-56,-28,16,0.975547821690151,1.221392855
2020-03-10,46,9.5,96.7882724530312,57,17,22,36,5,-52,-19,-17,-54,-35,19,0.947801527668158,1.194171154
2020-03-11,53,13,82.4022182688579,53,22,26,26,5,-57,-21,-25,-57,-39,21,0.921744219866288,1.176874632
2020-03-12,52,15,93.8857273569508,57,47,29,26,5,-73,-25,-50,-64,-46,25,0.897346396043282,1.157580105
2020-03-13,88,17,100,104,36,26,18,5,-76,-25,-59,-68,-51,29,0.875541965588108,1.145778885
2020-03-14,52,11,93.5765449060625,82,24,19,4,5,-87,-48,-77,-77,-61,26,0.856402843472558,1.134335907
2020-03-15,92,10.5,93.8019882329321,63,15,29,14,5,-91,-65,-75,-78,-54,22,0.838145888333524,1.126588072
2020-03-16,45,11,76.573905116887,50,18,32,29,5,-77,-37,-62,-69,-55,27,0.824092760961925,1.109471173
2020-03-17,93,NaN,NaN,59,26,33,41,5,-79,-44,-60,-70,-59,30,0.812147403580182,1.071242199
2020-03-18,0,18,72.8983782352432,72,36,39,48,5,-81,-45,-68,-71,-60,31,0.800671330360443,1.030787094
2020-03-19,69,NaN,NaN,89,34,39,39,5,-81,-45,-72,-74,-62,33,0.790846447798305,0.98143254
2020-03-20,110,13.5,93.6677059046129,85,39,28,30,5,-82,-40,-78,-75,-62,34,0.78109323382174,0.932923219
2020-03-21,35,14.5,87.9393243452448,93,30,34,16,5,-89,-55,-85,-80,-64,27,0.772270942090961,0.888432479
2020-03-22,195,11,93.5298058079933,76,16,26,3,5,-97,-95,-91,-87,-63,25,0.764133180817377,0.865633226
2020-03-23,155,6,56.6018339023692,53,10,30,23,5,-82,-43,-78,-75,-65,32,0.757166664319861,0.856135994
2020-03-24,71,9,57.6103934880834,38,9,31,19,5,-82,-48,-75,-75,-66,33,0.751366763576224,0.84715676
2020-03-25,90,7,75.862303185451,30,20,28,6,5,-84,-50,-81,-77,-67,35,0.745731568142777,0.848842921
2020-03-26,86,4,100,50,18,24,6,5,-86,-54,-84,-79,-70,37,0.742428614344284,0.855465994
2020-03-27,79,9,100,46,40,17,15,5,-84,-45,-82,-79,-69,38,0.740263049550322,0.859586374
2020-03-28,62,14.5,79.7422746956736,68,71,32,16,5,-89,-58,-85,-82,-67,28,0.737790596153535,0.868094232
2020-03-29,57,15,82.4022182688579,82,60,36,14,5,-96,-95,-90,-87,-63,25,0.735502162852316,0.873283145
2020-03-30,50,14,87.9398770779913,65,45,30,16,5,-83,-47,-78,-76,-66,32,0.732968727146774,0.866683834
2020-03-31,74,8,71.3478599703425,57,10,30,22,5,-91,-49,-76,-75,-67,34,0.730849482674054,0.858998176
2020-04-01,72,9.5,66.6759660628849,25,19,33,22,5,-92,-46,-77,-75,-67,35,0.730339912731754,0.846392839
2020-04-02,44,12,62.7493528706655,57,21,39,23,5,-91,-45,-76,-74,-66,35,0.729278284848414,0.835730123
2020-04-03,34,14,67.3803362062765,63,27,42,26,5,-87,-41,-78,-75,-66,36,0.728364716281937,0.832812668
2020-04-04,118,16,67.7696595335769,76,30,45,22,5,-91,-54,-84,-80,-64,28,0.727837262088839,0.829123471
2020-04-05,74,17,59.7216145062422,78,20,40,16,5,-97,-95,-89,-86,-62,25,0.725392837768494,0.84974208
2020-04-06,42,19,60.1633245676228,61,27,45,27,5,-84,-42,-75,-73,-61,30,0.723454392037104,0.873237587
2020-04-07,48,19,56.5604000486402,68,27,41,29,5,-82,-43,-73,-73,-63,32,0.723640040393465,0.896904474
2020-04-08,30,19.5,47.6888043415619,70,20,41,24,5,-82,-41,-75,-74,-62,32,0.7236512921264,0.930356343
2020-04-09,26,21,52.9533249185387,55,20,42,27,5,-82,-36,-76,-74,-62,33,0.721289546806137,0.947717683
2020-04-10,52,22,47.0995691500996,57,21,49,22,5,-82,-29,-77,-75,-64,34,0.719165130213975,0.976670157
2020-04-11,39,23,50.0446023720182,59,20,52,9,5,-88,-50,-83,-80,-64,27,0.716346412931343,0.978210688
2020-04-12,19,22,50.1667488821685,57,12,43,3,5,-97,-96,-90,-88,-66,25,0.714031699385203,0.977860667
2020-04-13,42,20,56.674662831661,38,17,47,4,5,-96,-96,-83,-89,-92,44,0.710712645850643,0.966236681
2020-04-14,9,18.5,77.8498952623059,55,17,44,14,5,-80,-43,-73,-72,-60,30,0.709349290400574,0.946237637
2020-04-15,34,15,67.7696595335769,46,15,36,19,5,-81,-39,-74,-72,-58,31,0.706625378226366,0.910485256
2020-04-16,82,17.5,70.1923753112959,38,20,38,21,5,-79,-38,-73,-72,-58,31,0.70512758442996,0.872953494
2020-04-17,27,20,60.3806648453332,53,20,43,38,5,-79,-35,-76,-72,-58,32,0.70114197112531,0.84312876
2020-04-18,43,22,68.884553356274,55,22,42,15,5,-86,-49,-83,-78,-58,26,0.698072601172356,0.805436385
2020-04-19,45,21,83.1770708252964,55,24,40,4,5,-95,-86,-88,-85,-55,24,0.696947678759798,0.778556424
2020-04-20,74,13,100,57,15,22,3,5,-80,-48,-81,-74,-55,29,0.693598888654637,0.763999086
2020-04-21,22,13,100,42,20,21,16,5,-78,-44,-74,-72,-56,30,0.692491089130956,0.755981064
2020-04-22,64,19,64.2235152846019,42,20,38,29,5,-78,-42,-74,-70,-55,29,0.692579541045365,0.74997682
2020-04-23,26,19.5,68.4291222932683,53,21,43,26,5,-78,-38,-72,-69,-55,30,0.692463984207753,0.748425177
2020-04-24,12,21,68.884553356274,61,20,46,24,5,-76,-26,-73,-72,-55,30,0.692101243507844,0.745819048
2020-04-25,23,22,73.3889621926598,59,12,44,7,5,-95,-95,-84,-85,-75,30,0.692392463355187,0.749028576
2020-04-26,39,21,72.9061750254459,42,13,40,14,5,-93,-64,-85,-83,-50,23,0.692677088960119,0.749846585
2020-04-27,39,21,78.2818340883483,42,11,32,19,5,-73,-32,-71,-67,-51,26,0.6928137162404,0.769856019
2020-04-28,10,17,93.9686742800139,34,10,30,17,5,-75,-39,-71,-70,-53,28,0.692890460345863,0.783407152
2020-04-29,22,19,100,25,8,29,9,5,-76,-35,-73,-70,-53,28,0.694091696810225,0.807400318
2020-04-30,13,19,88.2580781496436,21,10,30,17,5,-73,-22,-71,-68,-53,27,0.695319349213306,0.828643601
